,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
257,-3.0,96.0,100.0,92.0,121.0,1.133002,9.239884,3.049652,0.015882,0.0,-0.004887
258,-3.0,99.0,97.0,94.0,119.0,1.133002,9.239884,3.049652,0.015882,0.0,-0.004887
259,-5.0,94.0,97.0,92.0,118.0,1.133002,9.239884,3.049652,0.015882,0.0,-0.004887
260,-5.0,96.0,95.0,91.0,118.0,1.133002,9.239884,3.049652,0.015882,0.0,-0.004887
261,-4.0,96.0,94.0,90.0,119.0,1.133002,9.239884,3.049652,0.015882,0.0,-0.004887
262,-4.0,92.0,94.0,91.0,118.0,1.133002,9.239884,3.049652,0.015882,0.0,-0.004887
263,-6.0,95.0,95.0,91.0,117.0,1.133002,9.239884,3.049652,0.015882,0.0,-0.004887
264,-5.0,96.0,97.0,91.0,116.0,1.133002,9.239884,3.049652,0.015882,0.0,-0.004887
265,-5.0,90.0,97.0,94.0,114.0,0.967897,9.016156,3.269792,-0.053756,0.057421,0.003665
266,-5.0,93.0,96.0,91.0,114.0,0.967897,9.016156,3.269792,-0.053756,0.057421,0.003665
267,-6.0,90.0,97.0,92.0,111.0,0.967897,9.016156,3.269792,-0.053756,0.057421,0.003665
268,-7.0,92.0,99.0,90.0,112.0,0.967897,9.016156,3.269792,-0.053756,0.057421,0.003665
269,-5.0,92.0,95.0,93.0,111.0,0.967897,9.016156,3.269792,-0.053756,0.057421,0.003665
270,-5.0,90.0,96.0,91.0,108.0,0.967897,9.016156,3.269792,-0.053756,0.057421,0.003665
271,-5.0,90.0,94.0,89.0,111.0,0.967897,9.016156,3.269792,-0.053756,0.057421,0.003665
272,-5.0,86.0,95.0,89.0,106.0,0.967897,9.016156,3.269792,-0.053756,0.057421,0.003665
273,-4.0,86.0,95.0,89.0,106.0,0.967897,9.016156,3.269792,-0.053756,0.057421,0.003665
274,-5.0,90.0,93.0,88.0,105.0,0.967897,9.016156,3.269792,-0.053756,0.057421,0.003665
275,2.0,97.0,96.0,91.0,126.0,1.204786,9.199206,3.163311,0.006109,0.012217,0.0
276,1.0,98.0,96.0,94.0,125.0,1.204786,9.199206,3.163311,0.006109,0.012217,0.0
277,-2.0,94.0,95.0,87.0,123.0,1.204786,9.199206,3.163311,0.006109,0.012217,0.0
278,0.0,94.0,93.0,94.0,122.0,1.204786,9.199206,3.163311,0.006109,0.012217,0.0
279,0.0,94.0,96.0,90.0,125.0,1.204786,9.199206,3.163311,0.006109,0.012217,0.0
280,0.0,94.0,94.0,90.0,123.0,1.204786,9.199206,3.163311,0.006109,0.012217,0.0
281,0.0,95.0,94.0,91.0,120.0,1.204786,9.199206,3.163311,0.006109,0.012217,0.0
282,-2.0,93.0,91.0,88.0,121.0,1.204786,9.199206,3.163311,0.006109,0.012217,0.0
283,-1.0,92.0,93.0,90.0,113.0,1.204786,9.199206,3.163311,0.006109,0.012217,0.0
284,0.0,95.0,94.0,89.0,119.0,1.204786,9.199206,3.163311,0.006109,0.012217,0.0
285,10.0,89.0,90.0,89.0,113.0,0.674776,9.257831,2.647658,-0.025656,0.002443,0.00733
286,10.0,93.0,92.0,87.0,109.0,0.674776,9.257831,2.647658,-0.025656,0.002443,0.00733
287,8.0,88.0,92.0,85.0,109.0,0.674776,9.257831,2.647658,-0.025656,0.002443,0.00733
288,7.0,94.0,92.0,87.0,105.0,0.674776,9.257831,2.647658,-0.025656,0.002443,0.00733
289,5.0,91.0,92.0,86.0,108.0,0.674776,9.257831,2.647658,-0.025656,0.002443,0.00733
290,5.0,88.0,91.0,87.0,107.0,0.674776,9.257831,2.647658,-0.025656,0.002443,0.00733
291,3.0,89.0,91.0,85.0,107.0,0.674776,9.257831,2.647658,-0.025656,0.002443,0.00733
292,2.0,90.0,93.0,88.0,102.0,0.674776,9.257831,2.647658,-0.025656,0.002443,0.00733
293,2.0,90.0,91.0,86.0,106.0,0.674776,9.257831,2.647658,-0.025656,0.002443,0.00733
294,3.0,88.0,91.0,86.0,105.0,0.674776,9.257831,2.647658,-0.025656,0.002443,0.00733
295,-2.0,102.0,103.0,97.0,142.0,1.976472,8.29472,4.887341,-0.191812,-0.089186,0.061087
296,-3.0,99.0,105.0,92.0,130.0,1.976472,8.29472,4.887341,-0.191812,-0.089186,0.061087
297,-5.0,96.0,102.0,89.0,123.0,1.976472,8.29472,4.887341,-0.191812,-0.089186,0.061087
298,-6.0,90.0,98.0,88.0,122.0,1.976472,8.29472,4.887341,-0.191812,-0.089186,0.061087
299,-7.0,94.0,97.0,86.0,117.0,1.976472,8.29472,4.887341,-0.191812,-0.089186,0.061087
300,-10.0,88.0,95.0,85.0,115.0,1.976472,8.29472,4.887341,-0.191812,-0.089186,0.061087
301,-7.0,91.0,94.0,82.0,114.0,1.976472,8.29472,4.887341,-0.191812,-0.089186,0.061087
302,-7.0,91.0,94.0,78.0,113.0,1.976472,8.29472,4.887341,-0.191812,-0.089186,0.061087
303,-6.0,84.0,91.0,75.0,104.0,1.714458,8.623734,4.376472,-0.008552,-0.015882,-0.023213
304,-6.0,82.0,89.0,76.0,101.0,1.714458,8.623734,4.376472,-0.008552,-0.015882,-0.023213
305,-6.0,81.0,87.0,76.0,100.0,1.714458,8.623734,4.376472,-0.008552,-0.015882,-0.023213
306,-6.0,81.0,89.0,76.0,95.0,1.714458,8.623734,4.376472,-0.008552,-0.015882,-0.023213
307,-7.0,83.0,90.0,76.0,99.0,1.714458,8.623734,4.376472,-0.008552,-0.015882,-0.023213
308,-7.0,82.0,88.0,76.0,101.0,1.714458,8.623734,4.376472,-0.008552,-0.015882,-0.023213
309,-8.0,83.0,86.0,74.0,101.0,1.714458,8.623734,4.376472,-0.008552,-0.015882,-0.023213
310,-8.0,83.0,87.0,74.0,99.0,1.714458,8.623734,4.376472,-0.008552,-0.015882,-0.023213
311,-6.0,80.0,87.0,74.0,99.0,1.714458,8.623734,4.376472,-0.008552,-0.015882,-0.023213
312,-10.0,83.0,87.0,75.0,102.0,1.714458,8.623734,4.376472,-0.008552,-0.015882,-0.023213
313,0.0,88.0,93.0,80.0,115.0,1.712065,8.325827,4.849055,-0.00733,0.039095,-0.003665
314,1.0,87.0,92.0,79.0,112.0,1.712065,8.325827,4.849055,-0.00733,0.039095,-0.003665
315,0.0,87.0,88.0,76.0,111.0,1.712065,8.325827,4.849055,-0.00733,0.039095,-0.003665
316,-3.0,84.0,90.0,77.0,117.0,1.712065,8.325827,4.849055,-0.00733,0.039095,-0.003665
317,-2.0,85.0,89.0,77.0,114.0,1.712065,8.325827,4.849055,-0.00733,0.039095,-0.003665
318,-1.0,84.0,89.0,76.0,113.0,1.712065,8.325827,4.849055,-0.00733,0.039095,-0.003665
319,-2.0,84.0,91.0,78.0,111.0,1.712065,8.325827,4.849055,-0.00733,0.039095,-0.003665
320,-4.0,84.0,88.0,75.0,113.0,1.712065,8.325827,4.849055,-0.00733,0.039095,-0.003665
321,-2.0,82.0,85.0,76.0,113.0,1.712065,8.325827,4.849055,-0.00733,0.039095,-0.003665
322,-2.0,80.0,86.0,73.0,112.0,1.712065,8.325827,4.849055,-0.00733,0.039095,-0.003665
323,-3.0,79.0,84.0,71.0,104.0,1.471586,8.516056,4.476971,0.017104,-0.009774,-0.003665
324,-1.0,78.0,86.0,71.0,105.0,1.471586,8.516056,4.476971,0.017104,-0.009774,-0.003665
325,-3.0,79.0,86.0,68.0,99.0,1.471586,8.516056,4.476971,0.017104,-0.009774,-0.003665
326,-2.0,78.0,83.0,69.0,104.0,1.471586,8.516056,4.476971,0.017104,-0.009774,-0.003665
327,-1.0,77.0,85.0,71.0,104.0,1.471586,8.516056,4.476971,0.017104,-0.009774,-0.003665
328,-3.0,78.0,85.0,71.0,104.0,1.471586,8.516056,4.476971,0.017104,-0.009774,-0.003665
329,-3.0,76.0,84.0,71.0,99.0,1.471586,8.516056,4.476971,0.017104,-0.009774,-0.003665
330,-3.0,77.0,83.0,71.0,99.0,1.471586,8.516056,4.476971,0.017104,-0.009774,-0.003665
331,-6.0,73.0,76.0,70.0,96.0,1.471586,8.516056,4.476971,0.017104,-0.009774,-0.003665
332,-3.0,71.0,78.0,69.0,95.0,1.471586,8.516056,4.476971,0.017104,-0.009774,-0.003665
333,2.0,81.0,83.0,74.0,103.0,0.994218,8.395219,4.813163,0.004887,-0.023213,-0.010996
334,4.0,80.0,83.0,72.0,101.0,0.994218,8.395219,4.813163,0.004887,-0.023213,-0.010996
335,4.0,83.0,83.0,73.0,100.0,0.994218,8.395219,4.813163,0.004887,-0.023213,-0.010996
336,4.0,83.0,83.0,73.0,101.0,0.994218,8.395219,4.813163,0.004887,-0.023213,-0.010996
337,4.0,83.0,79.0,69.0,100.0,0.994218,8.395219,4.813163,0.004887,-0.023213,-0.010996
338,5.0,85.0,82.0,71.0,102.0,0.994218,8.395219,4.813163,0.004887,-0.023213,-0.010996
339,5.0,79.0,83.0,74.0,102.0,0.994218,8.395219,4.813163,0.004887,-0.023213,-0.010996
340,5.0,84.0,82.0,71.0,102.0,0.994218,8.395219,4.813163,0.004887,-0.023213,-0.010996
341,4.0,81.0,79.0,74.0,102.0,0.994218,8.395219,4.813163,0.004887,-0.023213,-0.010996
342,5.0,83.0,83.0,71.0,102.0,0.994218,8.395219,4.813163,0.004887,-0.023213,-0.010996
343,8.0,84.0,83.0,72.0,100.0,0.756132,8.327023,4.85743,-0.020769,-0.009774,0.018326
344,8.0,84.0,84.0,75.0,99.0,0.756132,8.327023,4.85743,-0.020769,-0.009774,0.018326
345,9.0,84.0,83.0,72.0,98.0,0.756132,8.327023,4.85743,-0.020769,-0.009774,0.018326
346,8.0,82.0,83.0,70.0,99.0,0.756132,8.327023,4.85743,-0.020769,-0.009774,0.018326
347,8.0,83.0,83.0,73.0,101.0,0.756132,8.327023,4.85743,-0.020769,-0.009774,0.018326
348,8.0,83.0,82.0,71.0,98.0,0.756132,8.327023,4.85743,-0.020769,-0.009774,0.018326
349,9.0,82.0,85.0,70.0,93.0,0.756132,8.327023,4.85743,-0.020769,-0.009774,0.018326
350,6.0,85.0,85.0,71.0,101.0,0.756132,8.327023,4.85743,-0.020769,-0.009774,0.018326
351,10.0,83.0,83.0,72.0,98.0,0.756132,8.327023,4.85743,-0.020769,-0.009774,0.018326
352,8.0,83.0,83.0,71.0,99.0,0.756132,8.327023,4.85743,-0.020769,-0.009774,0.018326
353,8.0,82.0,83.0,76.0,97.0,1.421337,6.622137,6.687939,0.293215,0.006109,-0.541227
354,8.0,81.0,83.0,74.0,100.0,1.421337,6.622137,6.687939,0.293215,0.006109,-0.541227
355,8.0,83.0,81.0,75.0,102.0,1.421337,6.622137,6.687939,0.293215,0.006109,-0.541227
356,7.0,79.0,82.0,71.0,97.0,1.421337,6.622137,6.687939,0.293215,0.006109,-0.541227
357,7.0,77.0,82.0,71.0,99.0,1.421337,6.622137,6.687939,0.293215,0.006109,-0.541227
358,6.0,81.0,83.0,76.0,103.0,1.421337,6.622137,6.687939,0.293215,0.006109,-0.541227
359,4.0,80.0,81.0,73.0,103.0,1.421337,6.622137,6.687939,0.293215,0.006109,-0.541227
360,7.0,80.0,80.0,74.0,101.0,1.421337,6.622137,6.687939,0.293215,0.006109,-0.541227
361,6.0,80.0,81.0,74.0,101.0,1.421337,6.622137,6.687939,0.293215,0.006109,-0.541227
362,6.0,82.0,82.0,76.0,96.0,1.421337,6.622137,6.687939,0.293215,0.006109,-0.541227
