,1,2,3,4,5,6,7,8,9,10,11
228,1347,0,0,0,2,4.31067,7.805387,3.820141,0.023213,-0.009774,-0.009774
229,64,3,4,3,5,4.31067,7.805387,3.820141,0.023213,-0.009774,-0.009774
230,62,3,5,3,4,4.31067,7.805387,3.820141,0.023213,-0.009774,-0.009774
231,59,2,4,1,4,4.31067,7.805387,3.820141,0.023213,-0.009774,-0.009774
232,59,4,2,3,4,4.31067,7.805387,3.820141,0.023213,-0.009774,-0.009774
233,59,3,3,3,4,4.31067,7.805387,3.820141,0.023213,-0.009774,-0.009774
237,53,4,4,3,3,-2.29711,8.604589,3.698107,0.032987,0.043982,0.051313
238,52,3,5,3,4,-2.29711,8.604589,3.698107,0.032987,0.043982,0.051313
239,52,3,5,0,4,-2.29711,8.604589,3.698107,0.032987,0.043982,0.051313
240,53,3,4,1,4,-2.29711,8.604589,3.698107,0.032987,0.043982,0.051313
241,53,3,5,2,4,-2.29711,8.604589,3.698107,0.032987,0.043982,0.051313
242,52,3,5,3,4,-2.29711,8.604589,3.698107,0.032987,0.043982,0.051313
243,51,3,4,1,4,-2.29711,8.604589,3.698107,0.032987,0.043982,0.051313
244,52,3,4,3,4,-2.29711,8.604589,3.698107,0.032987,0.043982,0.051313
245,50,3,3,2,3,-2.29711,8.604589,3.698107,0.032987,0.043982,0.051313
246,52,4,4,1,3,-2.29711,8.604589,3.698107,0.032987,0.043982,0.051313
250,53,2,4,2,3,-3.43729,8.242078,5.07757,-0.058643,0.00733,-0.062308
251,53,2,3,0,3,-3.43729,8.242078,5.07757,-0.058643,0.00733,-0.062308
252,52,2,3,2,3,-3.43729,8.242078,5.07757,-0.058643,0.00733,-0.062308
253,51,2,3,2,4,-3.43729,8.242078,5.07757,-0.058643,0.00733,-0.062308
254,52,2,3,2,1,-3.43729,8.242078,5.07757,-0.058643,0.00733,-0.062308
255,49,2,3,0,3,-3.43729,8.242078,5.07757,-0.058643,0.00733,-0.062308
256,51,2,3,4,3,-3.43729,8.242078,5.07757,-0.058643,0.00733,-0.062308
257,52,3,3,3,3,-3.43729,8.242078,5.07757,-0.058643,0.00733,-0.062308
258,52,2,3,0,3,-3.43729,8.242078,5.07757,-0.058643,0.00733,-0.062308
259,50,2,4,3,3,-3.43729,8.242078,5.07757,-0.058643,0.00733,-0.062308
263,42,7,6,6,5,-1.993221,8.785248,2.836691,-0.067195,0.09163,0.065973
264,41,7,6,4,5,-1.993221,8.785248,2.836691,-0.067195,0.09163,0.065973
265,40,7,6,4,5,-1.993221,8.785248,2.836691,-0.067195,0.09163,0.065973
266,40,7,7,6,5,-1.993221,8.785248,2.836691,-0.067195,0.09163,0.065973
267,39,8,6,5,5,-1.993221,8.785248,2.836691,-0.067195,0.09163,0.065973
268,39,8,8,6,6,-1.993221,8.785248,2.836691,-0.067195,0.09163,0.065973
269,39,8,8,6,6,-1.993221,8.785248,2.836691,-0.067195,0.09163,0.065973
270,40,8,11,6,6,-1.993221,8.785248,2.836691,-0.067195,0.09163,0.065973
271,41,8,11,6,7,-1.993221,8.785248,2.836691,-0.067195,0.09163,0.065973
272,42,9,10,7,6,-1.993221,8.785248,2.836691,-0.067195,0.09163,0.065973
276,34,0,1,2,2,-3.224329,8.429914,3.762714,-0.318872,-0.701273,-0.775799
277,8,0,1,0,1,-3.224329,8.429914,3.762714,-0.318872,-0.701273,-0.775799
278,6,0,1,2,2,-3.224329,8.429914,3.762714,-0.318872,-0.701273,-0.775799
279,7,1,0,0,1,-3.224329,8.429914,3.762714,-0.318872,-0.701273,-0.775799
280,29,0,2,1,4,-3.224329,8.429914,3.762714,-0.318872,-0.701273,-0.775799
281,57,2,5,3,4,-3.224329,8.429914,3.762714,-0.318872,-0.701273,-0.775799
282,64,3,4,3,4,-3.224329,8.429914,3.762714,-0.318872,-0.701273,-0.775799
283,62,3,5,1,4,-3.224329,8.429914,3.762714,-0.318872,-0.701273,-0.775799
284,59,5,4,4,5,-3.224329,8.429914,3.762714,-0.318872,-0.701273,-0.775799
285,59,5,5,4,5,-3.224329,8.429914,3.762714,-0.318872,-0.701273,-0.775799
289,52,4,6,4,5,-1.757528,8.579466,3.836891,-0.023213,0.0562,0.0
290,51,4,3,3,4,-1.757528,8.579466,3.836891,-0.023213,0.0562,0.0
291,49,3,6,4,4,-1.757528,8.579466,3.836891,-0.023213,0.0562,0.0
292,47,4,5,4,4,-1.757528,8.579466,3.836891,-0.023213,0.0562,0.0
293,46,3,4,3,4,-1.757528,8.579466,3.836891,-0.023213,0.0562,0.0
294,48,3,6,3,5,-1.757528,8.579466,3.836891,-0.023213,0.0562,0.0
295,48,4,5,3,5,-1.757528,8.579466,3.836891,-0.023213,0.0562,0.0
296,49,4,6,4,5,-1.757528,8.579466,3.836891,-0.023213,0.0562,0.0
297,49,3,5,3,3,-1.757528,8.579466,3.836891,-0.023213,0.0562,0.0
298,51,4,5,3,3,-1.757528,8.579466,3.836891,-0.023213,0.0562,0.0
302,48,3,5,4,4,-1.883151,8.999406,2.544767,-0.108734,-0.021991,-0.075747
303,48,4,6,4,5,-1.883151,8.999406,2.544767,-0.108734,-0.021991,-0.075747
304,48,4,4,3,3,-1.883151,8.999406,2.544767,-0.108734,-0.021991,-0.075747
305,48,4,5,4,4,-1.883151,8.999406,2.544767,-0.108734,-0.021991,-0.075747
306,49,4,6,4,4,-1.883151,8.999406,2.544767,-0.108734,-0.021991,-0.075747
307,48,4,4,3,5,-1.883151,8.999406,2.544767,-0.108734,-0.021991,-0.075747
308,49,4,5,4,4,-1.883151,8.999406,2.544767,-0.108734,-0.021991,-0.075747
309,48,3,4,3,4,-1.883151,8.999406,2.544767,-0.108734,-0.021991,-0.075747
310,47,3,6,4,2,-1.883151,8.999406,2.544767,-0.108734,-0.021991,-0.075747
311,47,3,3,4,5,-1.883151,8.999406,2.544767,-0.108734,-0.021991,-0.075747
315,47,4,5,4,4,-2.973082,7.847262,3.748357,-0.29688,0.267559,0.714712
316,47,4,5,3,4,-2.973082,7.847262,3.748357,-0.29688,0.267559,0.714712
317,45,4,6,4,4,-2.973082,7.847262,3.748357,-0.29688,0.267559,0.714712
318,47,4,5,3,5,-2.973082,7.847262,3.748357,-0.29688,0.267559,0.714712
319,45,3,4,4,4,-2.973082,7.847262,3.748357,-0.29688,0.267559,0.714712
320,48,4,5,2,4,-2.973082,7.847262,3.748357,-0.29688,0.267559,0.714712
321,47,4,5,4,4,-2.973082,7.847262,3.748357,-0.29688,0.267559,0.714712
322,47,4,3,3,4,-2.973082,7.847262,3.748357,-0.29688,0.267559,0.714712
323,48,4,5,4,4,-2.973082,7.847262,3.748357,-0.29688,0.267559,0.714712
324,47,3,5,4,4,-2.973082,7.847262,3.748357,-0.29688,0.267559,0.714712
328,46,4,4,1,4,-0.472582,8.301898,4.936393,-0.29688,0.215025,0.387289
329,48,4,4,4,4,-0.472582,8.301898,4.936393,-0.29688,0.215025,0.387289
330,44,4,6,3,5,-0.472582,8.301898,4.936393,-0.29688,0.215025,0.387289
331,47,4,5,3,4,-0.472582,8.301898,4.936393,-0.29688,0.215025,0.387289
332,47,2,4,1,4,-0.472582,8.301898,4.936393,-0.29688,0.215025,0.387289
333,47,4,5,1,4,-0.472582,8.301898,4.936393,-0.29688,0.215025,0.387289
334,47,4,6,4,4,-0.472582,8.301898,4.936393,-0.29688,0.215025,0.387289
335,47,4,5,3,4,-0.472582,8.301898,4.936393,-0.29688,0.215025,0.387289
336,47,4,5,4,5,-0.472582,8.301898,4.936393,-0.29688,0.215025,0.387289
337,47,3,5,1,4,-0.472582,8.301898,4.936393,-0.29688,0.215025,0.387289
341,50,6,5,4,5,0.010768,7.942975,5.253442,0.346971,0.394619,0.532674
342,49,4,5,4,3,0.010768,7.942975,5.253442,0.346971,0.394619,0.532674
343,48,4,3,3,2,0.010768,7.942975,5.253442,0.346971,0.394619,0.532674
344,50,5,5,3,5,0.010768,7.942975,5.253442,0.346971,0.394619,0.532674
345,49,5,4,3,5,0.010768,7.942975,5.253442,0.346971,0.394619,0.532674
346,48,3,5,3,3,0.010768,7.942975,5.253442,0.346971,0.394619,0.532674
347,48,4,4,4,4,0.010768,7.942975,5.253442,0.346971,0.394619,0.532674
348,48,4,6,3,4,0.010768,7.942975,5.253442,0.346971,0.394619,0.532674
349,45,4,5,1,4,0.010768,7.942975,5.253442,0.346971,0.394619,0.532674
350,45,4,4,3,5,0.010768,7.942975,5.253442,0.346971,0.394619,0.532674
354,47,5,5,3,4,0.745364,8.315059,5.252246,0.602313,0.207694,0.032987
355,47,5,4,3,5,0.745364,8.315059,5.252246,0.602313,0.207694,0.032987
356,43,5,5,3,3,0.745364,8.315059,5.252246,0.602313,0.207694,0.032987
357,43,4,4,3,4,0.745364,8.315059,5.252246,0.602313,0.207694,0.032987
358,43,4,5,4,4,0.745364,8.315059,5.252246,0.602313,0.207694,0.032987
359,46,4,3,3,4,0.745364,8.315059,5.252246,0.602313,0.207694,0.032987
360,46,4,4,4,4,0.745364,8.315059,5.252246,0.602313,0.207694,0.032987
361,46,4,6,3,4,0.745364,8.315059,5.252246,0.602313,0.207694,0.032987
362,46,4,5,3,4,0.745364,8.315059,5.252246,0.602313,0.207694,0.032987
363,46,4,5,3,4,0.745364,8.315059,5.252246,0.602313,0.207694,0.032987
367,45,4,4,5,4,-1.499103,7.879565,5.345566,-0.020769,-0.00733,-0.025656
368,43,3,3,3,4,-1.499103,7.879565,5.345566,-0.020769,-0.00733,-0.025656
369,45,3,4,3,2,-1.499103,7.879565,5.345566,-0.020769,-0.00733,-0.025656
370,42,2,4,3,3,-1.499103,7.879565,5.345566,-0.020769,-0.00733,-0.025656
371,42,2,3,4,3,-1.499103,7.879565,5.345566,-0.020769,-0.00733,-0.025656
372,42,3,3,1,2,-1.499103,7.879565,5.345566,-0.020769,-0.00733,-0.025656
373,41,2,3,2,3,-1.499103,7.879565,5.345566,-0.020769,-0.00733,-0.025656
374,38,2,3,3,3,-1.499103,7.879565,5.345566,-0.020769,-0.00733,-0.025656
375,39,1,3,2,2,-1.499103,7.879565,5.345566,-0.020769,-0.00733,-0.025656
376,38,1,0,1,2,-1.499103,7.879565,5.345566,-0.020769,-0.00733,-0.025656
380,35,0,0,-1,1,0.112463,8.047063,-0.604188,-0.844216,-0.817338,-0.679282
381,35,0,-2,0,0,0.112463,8.047063,-0.604188,-0.844216,-0.817338,-0.679282
382,35,0,0,-1,0,0.112463,8.047063,-0.604188,-0.844216,-0.817338,-0.679282
383,33,0,0,0,0,0.112463,8.047063,-0.604188,-0.844216,-0.817338,-0.679282
384,37,-1,0,1,0,0.112463,8.047063,-0.604188,-0.844216,-0.817338,-0.679282
385,36,-1,0,0,1,0.112463,8.047063,-0.604188,-0.844216,-0.817338,-0.679282
386,38,0,0,0,0,0.112463,8.047063,-0.604188,-0.844216,-0.817338,-0.679282
387,34,0,0,0,0,0.112463,8.047063,-0.604188,-0.844216,-0.817338,-0.679282
388,36,0,0,0,0,0.112463,8.047063,-0.604188,-0.844216,-0.817338,-0.679282
389,34,0,0,1,1,0.112463,8.047063,-0.604188,-0.844216,-0.817338,-0.679282
393,52,1,3,1,3,-0.363709,9.789038,3.320041,-0.549779,0.714712,1.11544
394,51,2,3,2,3,-0.363709,9.789038,3.320041,-0.549779,0.714712,1.11544
395,47,0,3,3,3,-0.363709,9.789038,3.320041,-0.549779,0.714712,1.11544
396,50,2,3,1,3,-0.363709,9.789038,3.320041,-0.549779,0.714712,1.11544
397,50,2,3,1,3,-0.363709,9.789038,3.320041,-0.549779,0.714712,1.11544
398,49,2,3,0,2,-0.363709,9.789038,3.320041,-0.549779,0.714712,1.11544
399,49,1,3,0,2,-0.363709,9.789038,3.320041,-0.549779,0.714712,1.11544
400,48,1,3,1,3,-0.363709,9.789038,3.320041,-0.549779,0.714712,1.11544
401,48,2,4,3,3,-0.363709,9.789038,3.320041,-0.549779,0.714712,1.11544
402,48,2,2,2,3,-0.363709,9.789038,3.320041,-0.549779,0.714712,1.11544
406,50,6,7,7,5,0.862613,7.774281,5.63749,-0.25412,0.12706,0.184481
407,52,7,7,3,5,0.862613,7.774281,5.63749,-0.25412,0.12706,0.184481
408,52,7,7,6,5,0.862613,7.774281,5.63749,-0.25412,0.12706,0.184481
409,52,7,8,5,6,0.862613,7.774281,5.63749,-0.25412,0.12706,0.184481
410,52,7,6,6,5,0.862613,7.774281,5.63749,-0.25412,0.12706,0.184481
411,52,7,6,6,5,0.862613,7.774281,5.63749,-0.25412,0.12706,0.184481
412,52,7,8,6,5,0.862613,7.774281,5.63749,-0.25412,0.12706,0.184481
